ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
MexA,3000377,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,antibiotic efflux
cprR,3005063,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration; antibiotic efflux
MuxC,3004075,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,antibiotic efflux
MexE,3000803,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
TriB,3003680,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
AAC(3)-IIb,3002534,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
mexM,3003704,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
OprN,3000805,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
mtrC,3000810,protein homolog model,Resistomes & Variants,Neisseria meningitidis,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; penam,antibiotic efflux
dfrE,3002875,protein homolog model,Resistomes & Variants,Enterococcus faecalis,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
RlmA(II),3001301,protein homolog model,Resistomes & Variants,Streptococcus pneumoniae,non-erm 23S ribosomal RNA methyltransferase (G748),macrolide antibiotic; lincosamide antibiotic,antibiotic target alteration
SAT-4,3002897,protein homolog model,Resistomes & Variants,Staphylococcus aureus,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation
mphC,3000319,protein homolog model,Resistomes & Variants,Staphylococcus aureus,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
mecR1,3000215,protein homolog model,Resistomes & Variants,Staphylococcus aureus,methicillin resistant PBP2,penam,antibiotic target replacement
CfxA2,3003002,protein homolog model,CARD; Resistomes & Variants,Prevotella intermedia; Bacteroides caccae; Bacteroides thetaiotaomicron; Phocaeicola vulgatus; Bacteroides fragilis; Bacteroides ovatus; Parabacteroides distasonis; Phocaeicola dorei; Butyricimonas faecalis,CfxA beta-lactamase,cephamycin,antibiotic inactivation
qacB,3003047,protein homolog model,CARD,Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
dfrA26,3002857,protein homolog model,CARD; Resistomes & Variants,Escherichia coli; Citrobacter freundii; Enterobacter cloacae; Enterobacter hormaechei; Klebsiella pneumoniae; Klebsiella quasipneumoniae,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
CfxA,3003001,protein homolog model,CARD,Phocaeicola vulgatus,CfxA beta-lactamase,cephamycin; oxacephem,antibiotic inactivation
CfxA5,3003096,protein homolog model,CARD; Resistomes & Variants,Parabacteroides distasonis; Bacteroides caccae; Phocaeicola massiliensis; Phocaeicola vulgatus,CfxA beta-lactamase,cephamycin,antibiotic inactivation
adeB,3000775,protein homolog model,CARD,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,antibiotic efflux
CfxA3,3003003,protein homolog model,CARD,Capnocytophaga ochracea,CfxA beta-lactamase,cephamycin,antibiotic inactivation
efrB,3003949,protein homolog model,CARD,Enterococcus faecium,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic,antibiotic efflux
OXA-513,3005743,protein homolog model,CARD,Achromobacter insuavis,OXA beta-lactamase; OXA-364-like beta-lactamase,penam,antibiotic inactivation
abeS,3000768,protein homolog model,Resistomes & Variants,Acinetobacter baumannii; Acinetobacter pittii,small multidrug resistance (SMR) antibiotic efflux pump,macrolide antibiotic; aminocoumarin antibiotic,antibiotic efflux
Acinetobacter baumannii AmvA,3004577,protein homolog model,Resistomes & Variants,Acinetobacter pittii,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; disinfecting agents and antiseptics,antibiotic efflux
BRP(MBL),3001205,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,Bleomycin resistant protein,glycopeptide antibiotic,antibiotic inactivation
CfxA4,3003005,protein homolog model,Resistomes & Variants,Bacteroides ovatus; Phocaeicola vulgatus; Bacteroides thetaiotaomicron; Parabacteroides distasonis; Phocaeicola dorei; Phocaeicola massiliensis,CfxA beta-lactamase,cephamycin,antibiotic inactivation
tet(C),3000167,protein homolog model,Resistomes & Variants,Bifidobacterium breve; Chlamydia suis; Escherichia coli; Pasteurella multocida,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
cepA,3003559,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CepA beta-lactamase,cephalosporin,antibiotic inactivation
mdeA,3007011,protein homolog model,Resistomes & Variants,Clostridium sporogenes; Staphylococcus epidermidis; Staphylococcus warneri; Vibrio cholerae; Staphylococcus capitis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
tet(M),3000186,protein homolog model,Resistomes & Variants,Streptococcus pyogenes; Staphylococcus aureus; Streptococcus agalactiae; Enterococcus faecium; Streptococcus pneumoniae,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
bacA,3002986,protein homolog model,Resistomes & Variants,Enterobacter cloacae,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration
PmrF,3003578,protein homolog model,Resistomes & Variants,Escherichia coli,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
TEM-1,3000873,protein homolog model,Resistomes & Variants,Escherichia coli; Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
eptB,3005047,protein homolog model,Resistomes & Variants,Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella michiganensis,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
TEM-63,3000931,protein homolog model,Resistomes & Variants,Vibrio cholerae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
pmrA,3000822,protein homolog model,Resistomes & Variants,Streptococcus mitis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
Enterococcus faecium chloramphenicol acetyltransferase,3004456,protein homolog model,Resistomes & Variants,Staphylococcus saprophyticus; Staphylococcus capitis; Staphylococcus aureus,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
Escherichia coli mdfA,3001328,protein homolog model,Resistomes & Variants,Escherichia albertii,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
vanY gene in vanA cluster,3002955,protein homolog model,Resistomes & Variants,Enterococcus faecium,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
tet(S),3000192,protein homolog model,Resistomes & Variants,Enterococcus faecium,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
APH(2'')-Ig,3002669,protein homolog model,Resistomes & Variants,Ruthenibacterium lactatiformans,APH(2''),aminoglycoside antibiotic,antibiotic inactivation
CblA-1,3002999,protein homolog model,Resistomes & Variants,Phocaeicola dorei,CblA beta-lactamase,cephalosporin,antibiotic inactivation
norA,3000391,protein homolog model,Resistomes & Variants,Staphylococcus epidermidis,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
dfrC,3002865,protein homolog model,Resistomes & Variants,Staphylococcus epidermidis; Staphylococcus aureus,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
Klebsiella pneumoniae OmpK37,3004122,protein homolog model,Resistomes & Variants,Klebsiella quasipneumoniae,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,reduced permeability to antibiotic
APH(3')-IIIa,3002647,protein homolog model,Resistomes & Variants,Streptococcus suis; Staphylococcus aureus,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
ParR,3005068,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux; reduced permeability to antibiotic
MexD,3000801,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
bcr-1,3003801,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,major facilitator superfamily (MFS) antibiotic efflux pump,bicyclomycin-like antibiotic,antibiotic efflux
MexI,3000808,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux
MexB,3000378,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,antibiotic efflux
basS,3003583,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration; antibiotic efflux
mtrA,3000816,protein homolog model,Resistomes & Variants,Neisseria meningitidis,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; penam,antibiotic efflux
smeR,3003066,protein homolog model,Resistomes & Variants,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
TxR,3005008,protein homolog model,Resistomes & Variants,Vibrio harveyi,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
arlR,3000838,protein homolog model,Resistomes & Variants,Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
Staphylococcus aureus LmrS,3004572,protein homolog model,Resistomes & Variants,Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
Staphylococcus aureus norA,3004667,protein homolog model,Resistomes & Variants,Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
mecI,3000124,protein homolog model,Resistomes & Variants,Staphylococcus aureus,methicillin resistant PBP2,penam,antibiotic target replacement
mgrA,3000815,protein homolog model,Resistomes & Variants,Staphylococcus aureus,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,antibiotic efflux
mecA,3000617,protein homolog model,Resistomes & Variants,Staphylococcus aureus,methicillin resistant PBP2,penam,antibiotic target replacement
arlS,3000839,protein homolog model,Resistomes & Variants,Staphylococcus aureus,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux
TEM-116,3000979,protein homolog model,Resistomes & Variants,Staphylococcus aureus,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
novA,3002522,protein homolog model,CARD,Streptomyces niveus,ATP-binding cassette (ABC) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux
rosA,3003048,protein homolog model,CARD,Yersinia enterocolitica,major facilitator superfamily (MFS) antibiotic efflux pump,peptide antibiotic,antibiotic efflux
OprA,3003039,protein homolog model,CARD; Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; tetracycline antibiotic,antibiotic efflux
vanR gene in vanG cluster,3002926,protein homolog model,CARD; Resistomes & Variants,Enterococcus faecalis; Streptococcus agalactiae; Streptococcus anginosus,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
TEM-150,3001017,protein homolog model,CARD; Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
smeB,3003052,protein homolog model,CARD,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
