Protein.identifier	Gene.symbol	Sequence.name	Scope	Element.type	Element.subtype	Class	Subclass	Method	Target.length	Reference.sequence.length	X..Coverage.of.reference.sequence	X..Identity.to.reference.sequence	Alignment.length	Accession.of.closest.sequence	Name.of.closest.sequence	HMM.id	HMM.description	Bin.ID	sample_id	Category	Specifics	Source	module	rack	Percentage.of.reads.mapping.to.taxonomic.identificatioin	Genus	Species	Completeness	Contamination	position
NIFMOB_01400	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01680	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01685	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01690	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01695	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01700	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01705	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01710	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01720	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01740	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01745	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01750	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01755	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01760	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01765	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_01770	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_05345	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_13955	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_23205	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	PARTIALP	325	429	75.76	98.15	325	BAA24823.1	arsenite efflux transporter membrane subunit ArsB	NA	NA	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NIFMOB_23210	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	141	141	100	99.29	141	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_020093055.1_ASM2009305v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
NONNAI_09870	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_027920325.1_ASM2792032v1_genomic		Clinical	Blood	University of Rochester Medical Center		NA	NA			NA	NA	1
NONNAI_15475	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_027920325.1_ASM2792032v1_genomic		Clinical	Blood	University of Rochester Medical Center		NA	NA			NA	NA	1
NONNAI_18975	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	94.69	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_027920325.1_ASM2792032v1_genomic		Clinical	Blood	University of Rochester Medical Center		NA	NA			NA	NA	1
NONNAI_18995	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	96.28	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_027920325.1_ASM2792032v1_genomic		Clinical	Blood	University of Rochester Medical Center		NA	NA			NA	NA	1
NONNAI_19005	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	813	824	98.79	84.28	814	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_027920325.1_ASM2792032v1_genomic		Clinical	Blood	University of Rochester Medical Center		NA	NA			NA	NA	1
NONNAI_19080	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	77.86	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_027920325.1_ASM2792032v1_genomic		Clinical	Blood	University of Rochester Medical Center		NA	NA			NA	NA	1
PIDEJN_04290	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	244	244	100	100	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NF012219.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	3D0409A_S160_L004_Mapped_To_coassembly_bin.002	3D0409A_S160_L004	ISS	ISS-Internal Surface	3DMM	pmm	4	80.9005	g_Pantoea	s_Pantoea piersonii	94.9	7.31	1
